Character,Integer
Jack Tracy,290
Jackie Tyler,291
Jackie Tyler (Pete's World),292
Jackson Lake,293
Jaeger (The Mutants),294
Jake Simmonds,295
James I,296
Jamie McCrimmon,297
Jane Blythe (The Sea Devils),298
Jane Hampden,299
Janley,300
Jeanne-Antoinette Poisson,301
Jeff Garvey,302
Jennifer Buckingham,303
Jennifer Lucas (Ganger),304
Jenny (The Doctor's Daughter),305
Jenny Flint,306
Jeremy Carstairs,307
Jimmy Stalkingwolf,308
Jo Grant,309
Jocrassa Fel-Fotch Passameer-Day Slitheen,310
John (Knock Knock),311
John Benton,312
John Hart (The Sea Devils),313
John Lumic,314
John Polidori,315
John Riddell,316
Johnny Ringo,317
Josiah Samuel Smith,318
Journey Blue,319
Julius Grayle,320
K'anpo Rimpoche,321
K9 (Storm in a Tikka) (page does not exist),322
K9 Mark I,323
K9 Mark II,324
K9 Mark III,325
K9 Mark IV,326
Kaftan,327
Kahler-Jex,328
Kahler-Tek,329
Kal,330
Kaldor android,331
Kalik,332
Kamelion,333
Kandyman,334
Kane (Dragonfire),335
Karabraxos,336
Karkus,337
Kasaavin,338
Katarina,339
Kate Stewart,340
Kazran Sardick,341
Keillor,342
Keith Gold,343
Keller Machine,344
Kellman,345
Kenossium,346
King Vampire,347
Kitling,348
Kiy Uvanov,349
Klineman Halpen,350
Kovarian,351
Kraal (species),352
Krafayis (Vincent and the Doctor),353
Krasko,354
Kroagnon,355
Kroll,356
Kronos,357
Kroton (species),358
Krynoid,359
Lassar,360
Leandro,361
Leela,362
Leo Jones,363
Li H'sen Chang,364
Light (Ghost Light),365
Lily Arwell,366
Linx,367
Lish Toos,368
Liz 10,369
Liz Shaw,370
Lord,371
Lord President,372
Lucy Fletcher,373
Luke Smith,374
Lupton,375
Lynda Moss,376
Léon Colbert,377
Maaga,378
Mace (The Sontaran Stratagem),379
Macra,380
Madge Arwell,381
Madge Cranleigh,382
Magnus Greel,383
Mags (The Greatest Show in the Galaxy),384
Malus,385
Mandragora Helix,386
Mandrel,387
Manish,388
Mara,389
Marco Polo,390
Mark Elgin,391
Marshal of Atrios,392
Marshal of Solos,393
Marshman,394
Martha Jones,395
Mary Shelley,396
Master Brain,397
Master of the Land,398
Matron,399
Maurice Caven,400
Mavic Chen,401
Mawdryn,402
Max Capricorn,403
Maximilien Robespierre,404
Maximillian Stael,405
McMillen,406
Mechonoid,407
Meglos,408
Mehendri Solon,409
Melanie Bush,410
Mercy Hartigan,411
Mestor,412
Metaltron,413
Mickey Smith,414
Midge (Survival),415
Midnight entity,416
Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,417
Mike Yates,418
Minister of Chance,419
Minotaur,420
Minotaur (The God Complex),421
Miranda Cleaves,422
Mire,423
Mister Sweet,424
Monk (species),425
Monoid,426
Morax Queen,427
Morbius,428
Morgaine,429
Morgus,430
Morka,431
Morok,432
Movellan,433
Mr Clever,434
Mr Sin,435
Mr Smith,436
Mummy (The Rings of Akhaten),437
Najia Khan,438
Napoléon Bonaparte,439
Nardole,440
Nardole (Shadow World),441
Nathan (A Fix with Sontarans),442
Nefertiti,443
Nero,444
Nestene Consciousness,445
Neville Catchlove,446
Nikola Tesla,447
Nimon,448
Ninth Doctor,449
Ninth Legion,450
Noor Inayat Khan,451
Nyssa,452
Odysseus,453
Ogri,454
Ohila,455
Olive Hawthorne,456
Omega,457
Ood,458
Ood (Death is the Only Answer),459
Ood (Pond Life),460
Ood Sigma,461
Oracle (Underworld),462
Pa Clanton,463
Padmasambhava,464
Palmer (The Three Doctors),465
Pangol,466
Paternoster Gang,467
Peg doll (Night Terrors),468
Peinforte,469
Peladon of Peladon,470
Percy Shelley,471
Peri Brown,472
Perkins (Mummy on the Orient Express),473
Pete Tyler,474
Pete Tyler (Pete's World),475
Peter Haydon,476
Petra Williams,477
Petronella Osgood,478
Phineas Clanton,479
Pol-Kon-Don,480
Polly Wright,481
Praxeus,482
President (The Three Doctors),483
Prisoner Zero,484
Psi,485
Pting (The Tsuranga Conundrum),486
Quark,487
Queen of the Skithra,488
Quillam,489
Rachel Jensen,490
Rago,491
Rain God,492
Rakaya,493
Ramón Salamander,494
Ranquin,495
Rapunzel,496
Rassilon,497
Reaper,498
Reconnaissance Dalek,499
Reegan,500
Remnant,501
Restac,502
Ribbons,503
Richard Lazarus,504
Richard Mace,505
Richard Nixon,506
Ricky Smith,507
Rigsy,508
Rill,509
River Song,510
Robin Hood,511
Roland Summers,512
Romana I,513
Romana II,514
Ron Rat,515
Rorvik,516
Rory Williams,517
Rory Williams (Auton),518
Rosa Parks,519
Rose Tyler,520
Rosemary Kizlet,521
Rosita Farisi,522
Ross Jenkins,523
Rusty (Into the Dalek),524
Rutan Host,525
Ryan Sinclair,526
Sabalom Glitz,527
Saibra,528
Salamar,529
Samuel Pike,530
Sandman (Sleep No More),531
Santa,532
Santa Claus,533
Sara Kingdom,534
Sarah Jane Smith,535
Saturnyn,536
Scaroth,537
Scientific Reform Society,538
Sea Devil,539
Seb (The Caretaker),540
Second Doctor,541
Second Doctor (page does not exist),542
Seer,543
Sentient oil,544
Seth Harper,545
Seventh Doctor,546
Seventh Doctor (Death Comes to Time),547
Shakri,548
Sharaz Jek,549
Sheriff of Nottingham,550
Shoal of the Winter Harmony,551
Shockeye of the Quawncing Grig,552
Sil,553
Silent,554
Sixth Doctor,555
Skagra,556
Skaldak,557
Skovox Blitzer,558
Slaar,559
Soldeed,560
Solitract,561
Solomon (Dinosaurs on a Spaceship),562
Sontaran,563
Sontarans,564
Sonya Khan,565
Sophie (The Lodger),566
Spandrell,567
Spider germ,568
Staal,569
Steven Taylor,570
Stevens,571
Stingray,572
Stor,573
Stotz,574
Strax,575
Stuart Hyde,576
Styre,577
Suki Cheng,578
Supreme Controller (The Dalek Invasion of Earth),579
Supreme Dalek (The Stolen Earth),580
Supreme Dalek (Victory of the Daleks),581
Susan Foreman,582
Sutcliffe (Thin Ice),583
Sutekh,584
Sycorax leader,585
Sylvia Noble,586
Tannis (Death Comes to Time),587
Taren Capel,588
Tasha Lem,589
Tegan Jovanka,590
Tegana,591
Tekker,592
Template:Disputed,593
Tenth Doctor,594
Tenth Doctor (Journey's End),595
Terileptil,596
Terileptil android,597
Teselecta,598
Thawn,599
The Alliance (The Pandorica Opens),600
The Beast (The Impossible Planet),601
The Brigadier,602
The Brigadier (Death Comes to Time),603
The Captain,604
The Collector,605
The Curator,606
The Destroyer,607
The Director (The Faceless Ones),608
The Doctor (Fugitive of the Judoon),609
The Doctor's TARDIS,610
The Editor,611
The Flood (The Waters of Mars),612
The Great One (Planet of the Spiders),613
The Host,614
The Master,615
The Moment,616
The Monk,617
The Nucleus,618
The Rani,619
The Shadow,620
The Silence,621
The Swarm (The Invisible Enemy),622
The Veil,623
The War Chief,624
The Watcher (Logopolis),625
The Wire,626
Third Doctor,627
Thirteenth Doctor,628
Thomas Edison,629
Thonmi,630
Three Who Rule,631
Tibo,632
Tim Latimer,633
Time Beetle,634
Time Field,635
Time Lord (The Three Doctors),636
Time Lord messenger,637
Time Lord messenger (Genesis of the Daleks),638
Time zombie,639
Tish Jones,640
Tlotoxl,641
Toba,642
Tobias Vaughn,643
Tom Osgood,644
Torajii,645
Torchwood Institute,646
Toshiko Sato,647
Tractator,648
Tryst,649
Turner (A Fix with Sontarans),650
Twelfth Doctor,651
Twelfth Doctor (Shadow World),652
Tzim-Sha,653
Urbankan,654
Vardan,655
Vardy,656
Varga,657
Vashta Nerada,658
Vastra,659
Vicki Pallister,660
Victoria,661
Victoria Waterfield,662
Vigil,663
Vincent van Gogh,664
Vislor Turlough,665
Vorus,666
WOTAN,667
War Doctor,668
War Lord,669
Weed creature,670
Weeping Angel,671
Weeping Angel (Good as Gold),672
West Lodge,673
Whitaker (Invasion of the Dinosaurs),674
White Guardian,675
Wilfred Mott,676
Will Chandler,677
William Shakespeare,678
Winifred Bambera,679
Winifred Gillyflower,680
Winston Churchill,681
Wirrn,682
Wrack,683
Xanxia,684
Xoanon,685
Yartek,686
Yasmin Khan,687
Yvonne Hartman,688
Zaroff,689
Zellin,690
Zoe Heriot,691
Zygon Kate Stewart,692
Zygon Osgood,693
